1,104,0,2023-06-20,2023-06-20,1,1,350,35.0,10,395.0,Cash
1,103,0,2023-06-20,2023-06-20,1,1,350,35.0,10,395.0,Cash
1,105,1,2023-06-20,2023-06-22,3,2,400,40.0,10,450.0,E-Wallet
1,102,0,2023-06-20,2023-06-23,1,3,350,35.0,10,395.0,Online Banking
1,107,0,2023-06-20,2023-06-23,1,3,1050,105.0,30,1185.0,E-Wallet
6,108,2,2023-06-20,2023-06-20,4,1,450,45.0,10,505.0,Credit/ Debit Card
1,103,0,2023-06-21,2023-06-21,1,1,350,35.0,10,395.0,Online Banking
1,106,0,2023-06-21,2023-06-21,1,1,350,35.0,10,395.0,Cash
7,102,0,2023-06-21,2023-06-21,1,1,350,35.0,10,395.0,null
8,101,0,2023-06-21,2023-06-21,1,1,350,35.0,10,395.0,null
1,104,0,2023-06-21,2023-06-21,1,1,350,35.0,10,395.0,Cash
1,104,0,2023-06-22,2023-06-22,1,1,350,35.0,10,395.0,E-Wallet
1,103,0,2023-06-23,2023-06-23,1,1,350,35.0,10,395.0,E-Wallet
9,104,0,2023-06-29,2023-06-29,1,1,350,35.0,10,395.0,Cash
1,107,2,2023-06-29,2023-06-29,1,1,450,45.0,10,505.0,Cash
10,105,0,2023-06-29,2023-06-29,1,1,350,35.0,10,395.0,null
