104,0,2023-06-20,2023-06-20,1,Checked Out,1
103,0,2023-06-20,2023-06-20,1,Checked Out,2
105,1,2023-06-20,2023-06-22,3,Booked,3
102,0,2023-06-20,2023-06-23,1,Booked,4
107,0,2023-06-20,2023-06-23,1,Booked,5
108,2,2023-06-20,2023-06-20,4,Checked Out,6
103,0,2023-06-21,2023-06-21,1,Checked Out,7
106,0,2023-06-21,2023-06-21,1,Checked Out,8
102,0,2023-06-21,2023-06-21,1,Cancelled,9
101,0,2023-06-21,2023-06-21,1,Cancelled,10
104,0,2023-06-21,2023-06-21,1,Checked Out,11
104,0,2023-06-22,2023-06-22,1,Checked Out,12
103,0,2023-06-23,2023-06-23,1,Checked Out,13
104,0,2023-06-29,2023-06-29,1,Checked Out,14
107,2,2023-06-29,2023-06-29,1,Checked Out,15
105,0,2023-06-29,2023-06-29,1,Booked,16
